,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
0,104.1.45.165,NAN,NAN,NAN,NAN,NAN,NAN
1,45.22.140.174,NAN,NAN,NAN,NAN,NAN,NAN
2,99.8.139.113,NAN,NAN,NAN,NAN,NAN,NAN
3,104.183.145.159,NAN,NAN,NAN,NAN,NAN,NAN
4,99.9.111.173,NAN,NAN,NAN,NAN,NAN,NAN
5,108.212.180.208,NAN,NAN,NAN,NAN,NAN,NAN
6,107.137.253.55,NAN,NAN,NAN,NAN,NAN,NAN
7,75.27.106.25,NAN,NAN,NAN,NAN,NAN,NAN
8,99.37.91.6,NAN,NAN,NAN,NAN,NAN,NAN
9,104.1.162.185,NAN,NAN,NAN,NAN,NAN,NAN
10,12.122.85.45,NAN,NAN,NAN,NAN,NAN,NAN
11,107.143.99.79,NAN,NAN,NAN,NAN,NAN,NAN
12,104.57.70.118,NAN,NAN,NAN,NAN,NAN,NAN
13,107.209.252.187,Irving,US,United States,-96.8815,32.8385,1000523
14,75.3.235.160,NAN,NAN,NAN,NAN,NAN,NAN
15,63.195.46.134,Communications Hill,US,United States,-121.7825,37.2375,6411
16,108.213.179.240,NAN,NAN,NAN,NAN,NAN,NAN
17,99.100.212.161,NAN,NAN,NAN,NAN,NAN,NAN
18,45.17.212.73,NAN,NAN,NAN,NAN,NAN,NAN
19,75.62.30.126,NAN,NAN,NAN,NAN,NAN,NAN
20,76.247.176.115,NAN,NAN,NAN,NAN,NAN,NAN
21,107.142.170.45,NAN,NAN,NAN,NAN,NAN,NAN
22,71.143.203.183,NAN,NAN,NAN,NAN,NAN,NAN
23,69.239.224.38,NAN,NAN,NAN,NAN,NAN,NAN
24,104.0.128.248,NAN,NAN,NAN,NAN,NAN,NAN
25,220.166.252.130,NAN,NAN,NAN,NAN,NAN,NAN
26,61.157.142.210,NAN,NAN,NAN,NAN,NAN,NAN
27,218.89.200.206,NAN,NAN,NAN,NAN,NAN,NAN
28,222.208.155.14,NAN,NAN,NAN,NAN,NAN,NAN
29,1.194.135.218,NAN,NAN,NAN,NAN,NAN,NAN
30,219.135.96.102,Tsuen Wan,HK,Hong Kong,114.1175,22.3695,12214
31,61.133.146.2,NAN,NAN,NAN,NAN,NAN,NAN
32,61.145.78.130,Tsuen Wan,HK,Hong Kong,114.1175,22.3695,12214
33,125.65.38.22,NAN,NAN,NAN,NAN,NAN,NAN
34,59.38.97.210,NAN,NAN,NAN,NAN,NAN,NAN
35,221.236.32.234,NAN,NAN,NAN,NAN,NAN,NAN
36,219.149.42.226,NAN,NAN,NAN,NAN,NAN,NAN
37,218.88.112.94,NAN,NAN,NAN,NAN,NAN,NAN
38,222.85.96.182,NAN,NAN,NAN,NAN,NAN,NAN
39,218.89.144.174,NAN,NAN,NAN,NAN,NAN,NAN
40,27.158.120.112,NAN,NAN,NAN,NAN,NAN,NAN
41,59.36.105.2,NAN,NAN,NAN,NAN,NAN,NAN
42,59.36.110.166,NAN,NAN,NAN,NAN,NAN,NAN
43,61.157.166.54,NAN,NAN,NAN,NAN,NAN,NAN
44,61.157.11.126,NAN,NAN,NAN,NAN,NAN,NAN
45,218.65.7.22,NAN,NAN,NAN,NAN,NAN,NAN
46,59.38.96.134,NAN,NAN,NAN,NAN,NAN,NAN
47,120.41.48.18,NAN,NAN,NAN,NAN,NAN,NAN
48,222.208.162.214,NAN,NAN,NAN,NAN,NAN,NAN
49,120.36.77.57,NAN,NAN,NAN,NAN,NAN,NAN
50,222.222.174.122,NAN,NAN,NAN,NAN,NAN,NAN
51,219.135.100.46,NAN,NAN,NAN,NAN,NAN,NAN
52,222.88.206.210,NAN,NAN,NAN,NAN,NAN,NAN
53,61.157.142.126,NAN,NAN,NAN,NAN,NAN,NAN
54,61.145.72.29,Tsuen Wan,HK,Hong Kong,114.1175,22.3695,12214
55,59.36.105.214,NAN,NAN,NAN,NAN,NAN,NAN
56,222.88.97.218,NAN,NAN,NAN,NAN,NAN,NAN
57,61.131.202.63,NAN,NAN,NAN,NAN,NAN,NAN
58,219.150.212.222,NAN,NAN,NAN,NAN,NAN,NAN
59,222.208.162.198,NAN,NAN,NAN,NAN,NAN,NAN
60,61.145.76.30,NAN,NAN,NAN,NAN,NAN,NAN
61,59.33.86.42,NAN,NAN,NAN,NAN,NAN,NAN
62,61.180.30.246,NAN,NAN,NAN,NAN,NAN,NAN
63,125.67.58.94,NAN,NAN,NAN,NAN,NAN,NAN
64,59.36.109.130,NAN,NAN,NAN,NAN,NAN,NAN
65,222.223.172.46,NAN,NAN,NAN,NAN,NAN,NAN
66,59.38.107.210,NAN,NAN,NAN,NAN,NAN,NAN
67,61.157.111.89,NAN,NAN,NAN,NAN,NAN,NAN
68,220.176.21.78,NAN,NAN,NAN,NAN,NAN,NAN
69,222.214.46.226,NAN,NAN,NAN,NAN,NAN,NAN
70,59.38.97.2,NAN,NAN,NAN,NAN,NAN,NAN
71,220.175.225.105,NAN,NAN,NAN,NAN,NAN,NAN
72,222.88.252.150,NAN,NAN,NAN,NAN,NAN,NAN
73,218.5.122.165,NAN,NAN,NAN,NAN,NAN,NAN
74,219.149.161.42,NAN,NAN,NAN,NAN,NAN,NAN
75,202.111.125.162,NAN,NAN,NAN,NAN,NAN,NAN
76,61.188.166.166,NAN,NAN,NAN,NAN,NAN,NAN
77,219.149.42.26,NAN,NAN,NAN,NAN,NAN,NAN
78,222.85.122.62,NAN,NAN,NAN,NAN,NAN,NAN
79,59.36.105.46,NAN,NAN,NAN,NAN,NAN,NAN
80,59.47.241.246,NAN,NAN,NAN,NAN,NAN,NAN
81,58.63.32.210,NAN,NAN,NAN,NAN,NAN,NAN
