,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
0,217.0.194.153,Nuernberg,DE,Germany,11.0805,49.4485,1003072
1,91.23.211.105,NAN,NAN,NAN,NAN,NAN,NAN
2,80.146.151.137,NAN,NAN,NAN,NAN,NAN,NAN
3,91.23.221.173,NAN,NAN,NAN,NAN,NAN,NAN
4,91.23.230.117,NAN,NAN,NAN,NAN,NAN,NAN
5,217.87.50.107,NAN,NAN,NAN,NAN,NAN,NAN
6,91.23.226.73,NAN,NAN,NAN,NAN,NAN,NAN
7,91.23.240.121,NAN,NAN,NAN,NAN,NAN,NAN
8,217.0.193.58,Bad Vilbel,DE,Germany,8.7375,50.1385,1000612
9,80.148.70.55,NAN,NAN,NAN,NAN,NAN,NAN
10,62.154.93.218,NAN,NAN,NAN,NAN,NAN,NAN
11,91.23.221.181,NAN,NAN,NAN,NAN,NAN,NAN
12,217.0.197.238,Bad Vilbel,DE,Germany,8.7415,50.1405,1000597
13,62.225.91.156,NAN,NAN,NAN,NAN,NAN,NAN
14,91.23.234.189,NAN,NAN,NAN,NAN,NAN,NAN
15,91.23.240.21,NAN,NAN,NAN,NAN,NAN,NAN
16,91.23.214.157,NAN,NAN,NAN,NAN,NAN,NAN
17,80.146.143.233,NAN,NAN,NAN,NAN,NAN,NAN
18,80.148.94.180,NAN,NAN,NAN,NAN,NAN,NAN
19,217.249.77.195,NAN,NAN,NAN,NAN,NAN,NAN
20,91.23.232.89,NAN,NAN,NAN,NAN,NAN,NAN
21,217.239.51.190,Saint-Fons,FR,France,4.8575,45.7195,12015
22,91.23.228.5,NAN,NAN,NAN,NAN,NAN,NAN
23,91.23.232.205,NAN,NAN,NAN,NAN,NAN,NAN
24,80.146.141.113,NAN,NAN,NAN,NAN,NAN,NAN
25,62.154.32.22,Hammerbrook,DE,Germany,10.0295,53.5415,34458
26,91.23.236.57,NAN,NAN,NAN,NAN,NAN,NAN
27,217.5.66.86,Stein,DE,Germany,11.0085,49.4485,6332
28,62.154.99.66,NAN,NAN,NAN,NAN,NAN,NAN
29,62.154.5.246,Paris,FR,France,2.3515,48.8715,51199
30,217.0.205.118,Hammerbrook,DE,Germany,10.0295,53.5415,34458
31,80.146.152.217,NAN,NAN,NAN,NAN,NAN,NAN
32,91.23.205.57,NAN,NAN,NAN,NAN,NAN,NAN
33,93.232.22.208,Darmstadt,DE,Germany,8.6495,49.8805,16546
34,62.154.52.169,Frankfurt am Main,DE,Germany,8.6805,50.1105,1000566
35,91.23.204.177,NAN,NAN,NAN,NAN,NAN,NAN
36,79.194.162.23,NAN,NAN,NAN,NAN,NAN,NAN
37,62.154.0.241,Bad Vilbel,DE,Germany,8.7415,50.1405,1000597
38,217.5.84.117,NAN,NAN,NAN,NAN,NAN,NAN
39,91.23.192.241,NAN,NAN,NAN,NAN,NAN,NAN
40,217.0.198.113,Bad Vilbel,DE,Germany,8.7375,50.1385,1000612
41,91.23.195.253,NAN,NAN,NAN,NAN,NAN,NAN
42,217.0.206.154,Darmstadt,DE,Germany,8.6375,49.8785,20202
43,91.23.233.97,NAN,NAN,NAN,NAN,NAN,NAN
44,217.0.200.206,Frankfurt am Main,DE,Germany,8.6795,50.1095,1003945
45,217.0.197.190,Darmstadt,DE,Germany,8.6495,49.8805,16546
46,91.23.192.5,NAN,NAN,NAN,NAN,NAN,NAN
47,91.23.215.205,NAN,NAN,NAN,NAN,NAN,NAN
48,195.243.14.2,Darmstadt,DE,Germany,8.6495,49.8805,16546
49,62.154.65.221,NAN,NAN,NAN,NAN,NAN,NAN
50,217.0.38.34,NAN,NAN,NAN,NAN,NAN,NAN
51,91.23.224.153,NAN,NAN,NAN,NAN,NAN,NAN
52,217.6.238.62,NAN,NAN,NAN,NAN,NAN,NAN
53,80.144.45.75,Aubervilliers,FR,France,2.3705,48.9115,18378
54,80.146.143.153,NAN,NAN,NAN,NAN,NAN,NAN
55,62.154.80.213,NAN,NAN,NAN,NAN,NAN,NAN
56,62.154.52.117,Darmstadt,DE,Germany,8.6495,49.8805,16546
57,91.23.228.129,NAN,NAN,NAN,NAN,NAN,NAN
58,91.23.218.85,NAN,NAN,NAN,NAN,NAN,NAN
59,217.5.89.170,Darmstadt,DE,Germany,8.6605,49.8815,18569
60,80.146.159.237,NAN,NAN,NAN,NAN,NAN,NAN
61,91.23.217.117,NAN,NAN,NAN,NAN,NAN,NAN
62,194.25.125.57,NAN,NAN,NAN,NAN,NAN,NAN
63,87.186.137.185,NAN,NAN,NAN,NAN,NAN,NAN
64,91.23.194.85,NAN,NAN,NAN,NAN,NAN,NAN
65,62.154.37.125,Darmstadt,DE,Germany,8.6495,49.8805,16546
66,80.148.163.102,NAN,NAN,NAN,NAN,NAN,NAN
67,80.148.154.139,NAN,NAN,NAN,NAN,NAN,NAN
68,87.186.131.13,NAN,NAN,NAN,NAN,NAN,NAN
69,80.146.155.249,NAN,NAN,NAN,NAN,NAN,NAN
70,91.23.250.237,NAN,NAN,NAN,NAN,NAN,NAN
71,80.148.188.42,NAN,NAN,NAN,NAN,NAN,NAN
72,217.239.58.6,City of London,GB,United Kingdom,-0.0905,51.5115,52049
73,91.23.213.125,NAN,NAN,NAN,NAN,NAN,NAN
74,62.154.5.174,Herndon,US,United States,-77.3825,38.9595,6804
75,217.0.197.58,Erkrath,DE,Germany,6.9105,51.2615,1000678
76,62.154.91.252,NAN,NAN,NAN,NAN,NAN,NAN
77,217.5.91.194,Bad Vilbel,DE,Germany,8.7415,50.1405,1000597
78,195.243.242.146,NAN,NAN,NAN,NAN,NAN,NAN
79,217.5.67.210,Bad Vilbel,DE,Germany,8.7415,50.1405,1000597
80,91.23.202.161,NAN,NAN,NAN,NAN,NAN,NAN
81,91.23.192.217,NAN,NAN,NAN,NAN,NAN,NAN
82,91.23.220.233,NAN,NAN,NAN,NAN,NAN,NAN
83,80.146.150.109,NAN,NAN,NAN,NAN,NAN,NAN
84,91.23.225.221,NAN,NAN,NAN,NAN,NAN,NAN
85,91.23.232.85,NAN,NAN,NAN,NAN,NAN,NAN
86,62.154.1.142,Erkrath,DE,Germany,6.9105,51.2615,1000678
87,91.23.204.73,NAN,NAN,NAN,NAN,NAN,NAN
88,91.23.251.97,NAN,NAN,NAN,NAN,NAN,NAN
89,91.23.233.13,NAN,NAN,NAN,NAN,NAN,NAN
90,5.10.220.7,NAN,NAN,NAN,NAN,NAN,NAN
91,80.146.149.117,NAN,NAN,NAN,NAN,NAN,NAN
92,80.148.221.200,NAN,NAN,NAN,NAN,NAN,NAN
93,91.23.218.161,NAN,NAN,NAN,NAN,NAN,NAN
94,80.148.110.25,NAN,NAN,NAN,NAN,NAN,NAN
95,91.23.233.141,NAN,NAN,NAN,NAN,NAN,NAN
96,80.146.151.241,NAN,NAN,NAN,NAN,NAN,NAN
97,91.23.250.181,NAN,NAN,NAN,NAN,NAN,NAN
98,91.23.195.229,NAN,NAN,NAN,NAN,NAN,NAN
99,217.5.71.85,NAN,NAN,NAN,NAN,NAN,NAN
