,Target Addr,City,CC,Country,Probe Longitude,Probe Latitude,Probe ID
0,193.251.108.209,NAN,NAN,NAN,NAN,NAN,NAN
1,193.253.86.33,NAN,NAN,NAN,NAN,NAN,NAN
2,193.253.84.38,NAN,NAN,NAN,NAN,NAN,NAN
3,193.251.109.217,NAN,NAN,NAN,NAN,NAN,NAN
4,80.10.125.201,NAN,NAN,NAN,NAN,NAN,NAN
5,193.253.85.21,NAN,NAN,NAN,NAN,NAN,NAN
6,83.206.16.38,NAN,NAN,NAN,NAN,NAN,NAN
7,193.253.82.57,NAN,NAN,NAN,NAN,NAN,NAN
8,193.253.151.233,NAN,NAN,NAN,NAN,NAN,NAN
9,90.80.255.247,NAN,NAN,NAN,NAN,NAN,NAN
10,80.10.45.77,NAN,NAN,NAN,NAN,NAN,NAN
11,194.206.85.31,NAN,NAN,NAN,NAN,NAN,NAN
12,92.130.223.174,NAN,NAN,NAN,NAN,NAN,NAN
13,193.249.213.193,NAN,NAN,NAN,NAN,NAN,NAN
14,193.253.84.9,NAN,NAN,NAN,NAN,NAN,NAN
15,80.10.154.245,NAN,NAN,NAN,NAN,NAN,NAN
16,193.253.150.29,NAN,NAN,NAN,NAN,NAN,NAN
17,193.253.95.89,NAN,NAN,NAN,NAN,NAN,NAN
18,193.251.108.253,NAN,NAN,NAN,NAN,NAN,NAN
19,193.253.87.245,NAN,NAN,NAN,NAN,NAN,NAN
20,193.253.90.189,NAN,NAN,NAN,NAN,NAN,NAN
21,193.253.93.197,NAN,NAN,NAN,NAN,NAN,NAN
22,193.249.213.53,NAN,NAN,NAN,NAN,NAN,NAN
23,193.249.214.101,NAN,NAN,NAN,NAN,NAN,NAN
24,193.253.86.142,NAN,NAN,NAN,NAN,NAN,NAN
25,189.56.199.30,NAN,NAN,NAN,NAN,NAN,NAN
26,200.232.100.102,NAN,NAN,NAN,NAN,NAN,NAN
27,200.159.66.214,NAN,NAN,NAN,NAN,NAN,NAN
28,201.61.129.50,NAN,NAN,NAN,NAN,NAN,NAN
29,201.28.186.137,NAN,NAN,NAN,NAN,NAN,NAN
30,189.56.195.161,NAN,NAN,NAN,NAN,NAN,NAN
31,201.63.70.114,Carapicuiba,BR,Brazil,-46.8325,-23.5015,7113
32,201.63.61.38,NAN,NAN,NAN,NAN,NAN,NAN
33,187.100.187.213,Sao Paulo,BR,Brazil,-46.5785,-23.5385,1004689
34,152.255.177.23,NAN,NAN,NAN,NAN,NAN,NAN
35,189.56.162.34,Taboao da Serra,BR,Brazil,-46.7415,-23.5825,25421
36,189.108.2.130,NAN,NAN,NAN,NAN,NAN,NAN
37,187.100.168.249,Sao Paulo,BR,Brazil,-46.5785,-23.5385,1004689
38,189.56.134.189,NAN,NAN,NAN,NAN,NAN,NAN
39,201.28.154.70,Jardim Paulista,BR,Brazil,-46.6915,-23.6015,28733
40,187.51.160.174,NAN,NAN,NAN,NAN,NAN,NAN
41,187.100.182.39,Sao Paulo,BR,Brazil,-46.5785,-23.5385,1004689
42,189.56.65.202,Sao Paulo,BR,Brazil,-46.6425,-23.5595,1002617
43,201.28.28.202,NAN,NAN,NAN,NAN,NAN,NAN
44,189.20.150.174,NAN,NAN,NAN,NAN,NAN,NAN
45,152.255.149.3,Campinas,BR,Brazil,-47.0615,-22.9095,27636
46,201.91.239.254,NAN,NAN,NAN,NAN,NAN,NAN
47,177.25.9.82,NAN,NAN,NAN,NAN,NAN,NAN
48,187.100.187.165,Sao Paulo,BR,Brazil,-46.5785,-23.5385,1004689
